,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658755589.0,,,1658755590.0,1658755596.0,1658755600.0,1658755600.0,1658755605.0,1.0,,6.0,4.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758298.0,1658758298.0,1658758303.0,5.0,,22.0,2666.0,5.0,257.0,2539481399.0,5.0,1489917.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_9942/pegasus.9L6MnBwOI/individuals,,2252.8,0,0
individuals_ID0000046,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758263.0,1658758263.0,1658758268.0,5.0,,22.0,2631.0,5.0,187.0,2539481399.0,5.0,960194.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_6548/pegasus.5QwFzBdEW/individuals,,2267.6,0,0
individuals_ID0000045,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758943.0,1658758943.0,1658758948.0,5.0,,22.0,3311.0,5.0,829.0,2539481399.0,5.0,1312845.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_7627/pegasus.m4BBPBpRl/individuals,,2423.3,0,0
individuals_ID0000044,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758218.0,1658758218.0,1658758223.0,5.0,,22.0,2586.0,5.0,297.0,2539481399.0,5.0,1029023.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_11939/pegasus.ivr9QsJbF/individuals,,2265.4,0,0
individuals_ID0000049,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758208.0,1658758208.0,1658758213.0,5.0,,22.0,2576.0,5.0,231.0,2539481399.0,4.0,1438359.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_15754/pegasus.XLrfS91XY/individuals,,2286.8,0,0
individuals_ID0000048,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758268.0,1658758268.0,1658758273.0,5.0,,22.0,2636.0,5.0,262.0,2539481399.0,5.0,1174722.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_9491/pegasus.ItQImcAKd/individuals,,2351.6,0,0
individuals_ID0000032,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758238.0,1658758238.0,1658758243.0,5.0,,22.0,2606.0,5.0,269.0,2539481399.0,5.0,1644554.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_11685/pegasus.m1aeliN6m/individuals,,2269.0,0,0
individuals_ID0000031,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758268.0,1658758268.0,1658758273.0,5.0,,22.0,2636.0,5.0,161.0,2539481399.0,5.0,1885763.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_6336/pegasus.SZLGq4nq5/individuals,,2262.0,0,0
individuals_ID0000030,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758853.0,1658758853.0,1658758858.0,5.0,,22.0,3221.0,5.0,712.0,2539481399.0,4.0,2294261.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_7363/pegasus.nWNDci5NI/individuals,,2330.6,0,0
individuals_ID0000036,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658759063.0,1658759063.0,1658759068.0,5.0,,22.0,3431.0,5.0,1019.0,2539481399.0,4.0,844578.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_7538/pegasus.u5M1XCOkm/individuals,,2304.3,0,0
sifting_ID0000104,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658756701.0,1658756701.0,1658756706.0,5.0,,22.0,1069.0,5.0,161.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker1-container-16-19,sifting,/var/lib/condor/execute/dir_6504/pegasus.qvxmteFXB/sifting,,4.2,0,0
individuals_ID0000035,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758468.0,1658758468.0,1658758473.0,5.0,,22.0,2836.0,5.0,225.0,2539481399.0,4.0,2879772.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_7015/pegasus.pLVvBo3rE/individuals,,2273.1,0,0
individuals_ID0000033,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758773.0,1658758773.0,1658758778.0,5.0,,22.0,3141.0,5.0,779.0,2539481399.0,5.0,1455585.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_7228/pegasus.7FZaiJ1du/individuals,,2286.3,0,0
individuals_ID0000039,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758988.0,1658758988.0,1658758993.0,5.0,,22.0,3356.0,5.0,800.0,2539481399.0,5.0,1272457.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_7837/pegasus.VO8c9mbFD/individuals,,2340.6,0,0
individuals_ID0000038,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758248.0,1658758248.0,1658758253.0,5.0,,22.0,2616.0,5.0,245.0,2539481399.0,5.0,1986925.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_11570/pegasus.AjhJWsolj/individuals,,2350.1,0,0
individuals_ID0000037,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758503.0,1658758503.0,1658758508.0,5.0,,22.0,2871.0,5.0,223.0,2539481399.0,5.0,1533075.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_8053/pegasus.uNNbD9JZs/individuals,,2436.4,0,0
individuals_ID0000021,compute,0,1658755605.0,,,1658755610.0,1658755632.0,1658758193.0,1658758193.0,1658758198.0,5.0,,22.0,2561.0,5.0,248.0,2539481399.0,4.0,1385125.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_11937/pegasus.ijrXQiQwo/individuals,,2262.4,0,0
