,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,execute_start,execute_end,stage_out_start,stage_out_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_predict-future-sales_0_local,None,auxiliary,0,1676991987.0,,,1676991988.0,,,1676991993.0,1676992003.0,,,1676992003.0,1676992008.0,1.0,,5.0,10.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer,0.3,0,0
create_dir_predict-future-sales_0_condorpool,None,auxiliary,0,1676991987.0,,,1676991988.0,,,1676991993.0,1676992003.0,,,1676992003.0,1676992008.0,1.0,,5.0,10.0,5.0,,,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer,0.3,0,0
stage_in_local_local_4_0,None,transfer,0,1676992008.0,,,1676992014.0,1676992014.0,1676992016.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,6.0,,0.0,10.0,5.0,2.0,12577.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.4,0,0
stage_in_local_condorpool_8_0,None,transfer,0,1676992008.0,,,1676992013.0,1676992014.0,1676992018.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,5.0,,1.0,10.0,5.0,4.0,2368.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.5,0,0
stage_in_local_condorpool_3_0,None,transfer,0,1676992008.0,,,1676992013.0,1676992014.0,1676992018.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,5.0,,1.0,10.0,5.0,4.0,12704.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.6,0,0
stage_in_local_condorpool_2_0,None,transfer,0,1676992008.0,,,1676992013.0,1676992014.0,1676992020.0,1676992014.0,1676992029.0,,,1676992029.0,1676992034.0,5.0,,1.0,15.0,5.0,6.0,55480.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,1.0,0,0
stage_in_local_condorpool_1_0,None,transfer,0,1676992008.0,,,1676992013.0,1676992014.0,1676992018.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,5.0,,1.0,10.0,5.0,4.0,15640.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.6,0,0
stage_in_local_condorpool_0_0,None,transfer,0,1676992008.0,,,1676992013.0,1676992014.0,1676992024.0,1676992014.0,1676992034.0,,,1676992034.0,1676992039.0,5.0,,1.0,20.0,5.0,10.0,936801734.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,5.7,0,0
stage_in_local_condorpool_7_0,None,transfer,0,1676992008.0,,,1676992014.0,1676992014.0,1676992018.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,6.0,,0.0,10.0,5.0,4.0,3488.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.5,0,0
stage_in_local_condorpool_6_0,None,transfer,0,1676992008.0,,,1676992014.0,1676992014.0,1676992018.0,1676992014.0,1676992024.0,,,1676992024.0,1676992029.0,6.0,,0.0,10.0,5.0,4.0,7870.0,,,poseidon,local,host-10-100-100-12.openstacklocal,pegasus::transfer,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::transfer -N null -i - -R local  -L predict-future-sales -T 2023-02-17T19:59:06+00:00 pegasus-transfer  --threads 2,0.4,0,0
preprocess_ID0000003,cpu_3,compute,0,1676992039.0,,,1676992044.0,1676992010.0,1676992027.0,1676992049.0,1676992094.0,1676992039.0,1676992046.0,1676992094.0,1676992099.0,5.0,,5.0,45.0,5.0,17.0,467356066.0,7.0,160257914.0,poseidon,condorpool,poseidon-worker-2-container-40-47,preprocess,/srv/preprocess,,4.4,0,0
nlp_ID0000002,None,compute,0,1676992039.0,,,1676992044.0,1676992009.0,1676992026.0,1676992049.0,1676992324.0,1676992272.0,1676992277.0,1676992324.0,1676992329.0,5.0,,5.0,275.0,5.0,17.0,369033604.0,5.0,2755872.0,poseidon,condorpool,poseidon-worker-3-container-0-7,nlp,/srv/nlp,,1491.9,0,0
eda_ID0000001,cpu_3,compute,0,1676992039.0,,,1676992044.0,1676992009.0,1676992028.0,1676992049.0,1676992124.0,1676992068.0,1676992073.0,1676992124.0,1676992129.0,5.0,,5.0,75.0,5.0,19.0,464177772.0,5.0,1196801.0,poseidon,condorpool,poseidon-worker-1-container-16-23,eda,/srv/eda,,33.9,0,0
feature_eng_1_ID0000005,cpu_3,compute,0,1676992099.0,,,1676992104.0,1676992067.0,1676992088.0,1676992106.0,1676992174.0,1676992112.0,1676992122.0,1676992174.0,1676992179.0,5.0,,2.0,68.0,5.0,21.0,528250191.0,10.0,393324463.0,poseidon,condorpool,poseidon-worker-2-container-40-47,feature_eng_1,/srv/feature_eng_1,,15.9,0,0
feature_eng_0_ID0000004,cpu_3,compute,0,1676992099.0,,,1676992104.0,1676992067.0,1676992086.0,1676992106.0,1676992154.0,1676992098.0,1676992102.0,1676992154.0,1676992159.0,5.0,,2.0,48.0,5.0,19.0,369949088.0,4.0,893320.0,poseidon,condorpool,poseidon-worker-2-container-40-47,feature_eng_0,/srv/feature_eng_0,,5.0,0,0
feature_eng_5_ID0000009,cpu_3,compute,0,1676992179.0,,,1676992184.0,1676992146.0,1676992170.0,1676992186.0,1676992459.0,1676992396.0,1676992410.0,1676992459.0,1676992464.0,5.0,,2.0,273.0,5.0,24.0,856820455.0,14.0,655540227.0,poseidon,condorpool,poseidon-worker-1-container-16-23,feature_eng_5,/srv/feature_eng_5,,216.4,0,0
