,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658813486.0,,,1658813487.0,1658813492.0,1658813497.0,1658813497.0,1658813502.0,1.0,,5.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816050.0,1658816050.0,1658816055.0,5.0,,6.0,2537.0,5.0,184.0,2539481399.0,5.0,1490046.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_100/pegasus.J4Abnt2Us/individuals,,2214.7,0,0
individuals_ID0000046,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658815874.0,1658815874.0,1658815879.0,5.0,,6.0,2361.0,5.0,171.0,2539481399.0,4.0,960593.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_106/pegasus.fFARz7j7n/individuals,,2168.8,0,0
individuals_ID0000045,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816416.0,1658816416.0,1658816421.0,5.0,,6.0,2903.0,5.0,203.0,2539481399.0,4.0,1313276.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_109/pegasus.jgjMtyJHU/individuals,,2243.7,0,0
individuals_ID0000044,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658817753.0,1658817753.0,1658817758.0,5.0,,6.0,4240.0,5.0,212.0,2539481399.0,4.0,1029603.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_100/pegasus.6NsAK9b0s/individuals,,2091.5,0,0
individuals_ID0000049,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658815959.0,1658815959.0,1658815965.0,5.0,,6.0,2446.0,6.0,195.0,2539481399.0,4.0,1438627.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_104/pegasus.voN2QJBDk/individuals,,2225.8,0,0
individuals_ID0000048,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816015.0,1658816015.0,1658816020.0,5.0,,6.0,2502.0,5.0,166.0,2539481399.0,4.0,1175062.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_106/pegasus.SHXtreu5V/individuals,,2311.2,0,0
individuals_ID0000032,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816030.0,1658816030.0,1658816035.0,5.0,,6.0,2517.0,5.0,205.0,2539481399.0,5.0,1644807.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_111/pegasus.iWluRtMAt/individuals,,2281.7,0,0
individuals_ID0000031,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816320.0,1658816320.0,1658816325.0,5.0,,6.0,2807.0,5.0,203.0,2539481399.0,5.0,1885863.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_109/pegasus.alydx7ozB/individuals,,2164.4,0,0
individuals_ID0000030,compute,0,1658813502.0,,,1658813507.0,1658813513.0,1658816922.0,1658816922.0,1658816927.0,5.0,,6.0,3409.0,5.0,169.0,2539481399.0,4.0,2294661.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_109/pegasus.sftaOfnKe/individuals,,2216.3,0,0
