,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658776715.0,,,1658776716.0,1658776720.0,1658776726.0,1658776726.0,1658776731.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779403.0,1658779403.0,1658779408.0,5.0,,20.0,2647.0,5.0,194.0,2539481399.0,5.0,1490032.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_2911/pegasus.T87WPrfxZ/individuals,,2412.5,0,0
individuals_ID0000046,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779323.0,1658779323.0,1658779328.0,5.0,,20.0,2567.0,5.0,205.0,2539481399.0,5.0,960398.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_2475/pegasus.uEqyLc1Bc/individuals,,2338.8,0,0
individuals_ID0000045,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779348.0,1658779348.0,1658779353.0,5.0,,20.0,2592.0,5.0,226.0,2539481399.0,5.0,1312883.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_3203/pegasus.FcKi6vHtv/individuals,,2340.3,0,0
individuals_ID0000044,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779338.0,1658779338.0,1658779343.0,5.0,,20.0,2582.0,5.0,186.0,2539481399.0,5.0,1029147.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_3478/pegasus.Yq8Xu15j5/individuals,,2363.3,0,0
individuals_ID0000049,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779298.0,1658779298.0,1658779303.0,5.0,,20.0,2542.0,5.0,218.0,2539481399.0,4.0,1438446.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_2474/pegasus.9pOTupI23/individuals,,2293.3,0,0
individuals_ID0000048,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779263.0,1658779263.0,1658779268.0,5.0,,20.0,2507.0,5.0,147.0,2539481399.0,4.0,1174818.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_2403/pegasus.MHqr70iev/individuals,,2337.9,0,0
individuals_ID0000032,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779439.0,1658779439.0,1658779444.0,5.0,,20.0,2683.0,5.0,238.0,2539481399.0,4.0,1644606.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_3279/pegasus.0RJEGPicc/individuals,,2419.6,0,0
individuals_ID0000031,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779273.0,1658779273.0,1658779278.0,5.0,,20.0,2517.0,5.0,110.0,2539481399.0,5.0,1885760.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_2421/pegasus.mbukybOJk/individuals,,2386.0,0,0
individuals_ID0000030,compute,0,1658776731.0,,,1658776736.0,1658776756.0,1658779253.0,1658779253.0,1658779258.0,5.0,,20.0,2497.0,5.0,140.0,2539481399.0,4.0,2294275.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_2060/pegasus.WNTW6QPvf/individuals,,2335.4,0,0
